D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_448.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_448.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_448.jpg,0,0,0,6.423022E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_514.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_514.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_514.jpg,0,0,0,1.01601E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_582.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_582.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_582.jpg,0,0,0,9.347157E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_656.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_656.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_656.jpg,0,0,0,4.047612E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_723.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_723.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_723.jpg,0,0,0,3.518476E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_793.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_793.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_793.jpg,0,0,0,1.450168E-05
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_862.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_862.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_862.jpg,0,0,0,6.497639E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_931.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_931.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_931.jpg,0,0,0,5.561367E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_37_999.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_37_999.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_37_999.jpg,0,0,0,3.009686E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_068.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_068.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_068.jpg,0,0,0,1.384317E-05
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_135.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_135.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_135.jpg,0,0,0,4.481532E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_203.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_203.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_203.jpg,0,0,0,2.526193E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_272.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_272.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_272.jpg,0,0,0,8.319645E-06
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_341.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_341.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_341.jpg,0,0.0368418,0,0.0334481
D:\TestPythonEnv\track\IMG\center_2020_06_26_12_48_38_411.jpg,D:\TestPythonEnv\track\IMG\left_2020_06_26_12_48_38_411.jpg,D:\TestPythonEnv\track\IMG\right_2020_06_26_12_48_38_411.jpg,0,0.2780478,0,0.1809536
